"Name","Trainee_Status","Years","Current_Position","Link"
"Lihu Kolton","Postdoc","1983-1986","Sr. Patent Attorney, Ehrlich Group","Website"
"Flora Katz","Postdoc","1984-1986","Director, Division of International Training and Research, Fogarty International Center, NIH"," "
"Chauncey Bowers","Postdoc","1984-1987","Musician"," "
"Constance (Stanzi) Royden","Graduate Student","1983-1987","Professor, College of the Holy Cross","Website"
"Kevin J. Lee","Technician","1985-1987","Senior Scientific Advisor, JPB Foundation, & Chief Scientific Officer, Grace Science Foundation","Website"
"Dale Branton","Postdoc","1981-1988","Associate Professor, University of Minnesota"," "
"Heidi Phillips","Postdoc","1984-1988","CEO, PEACH"," "
"Bruce Tempel (deceased)","Postdoc","1984-1988","Professor, University of Washington, Seattle"," "
"Kimberly McCall","Technician","1986-1988","Professor and Chair, Boston University","Website"
"Tom Schwarz","Postdoc","1983-1989","Professor, Harvard Medical School/ Children's Hospital","Website"
"Diane Papazian","Postdoc","1984-1989","Professor, UCLA","Website"
"Michael Caudy","Postdoc","1985-1989","Director, Genomics Knowledge Systems"," "
"Tadashi Uemura","Postdoc","1987-1989","Professor, Kyoto University","Website"
"Rolf Bodmer","Postdoc","1984-1990","Professor and Director, Center for Genetic Disorders and Aging Research, Sanford Burnham Prebys Medical Research Institute","Website"
"Ethan Bier","Postdoc","1986-1990","Professor, UC San Diego","Website"
"Gabrielle Boulianne","Postdoc","1988-1990","Senior Scientist and Professor, University of Toronto, Hospital for Sick Children","Website"
"Leslie Timpe","Postdoc","1983-1991","Lecturer, San Francisco State University","Website"
"Bruce Hay","Graduate Student/Postdoc","1986-1991","Professor, Caltech","Website"
"Tom Crowley","Postdoc","1987-1991","Private Business"," "
"Bill Kimmerly","Postdoc","1988-1991","Founder and Master Brewer, Moultrie Brewing Company"," "
"Yves Grau","Postdoc","1989-1991","Member, French National Centre for Scientific Research, CNRS-IGF"," "
"Yi Rao","Graduate Student","1986-1991","Professor, Peking University; President, Capital Medical University","Website"
"Karen Blochlinger","Postdoc","1987-1992","General Counsel, Seattle Biomedical Research Institute"," "
"Harald Vaessin","Postdoc","1987-1992","Professor and Chair, Department of Molecular Genetics, Ohio State University","Website"
"Ehud Isacoff","Postdoc","1988-1992","Professor, University of California Berkeley","Website"
"Meei-Ling Tsaur","Postdoc","1988-1992","Professor, National Yang-Ming University","Website"
"Michael Brand","Postdoc","1990-1992","Professor, Center for Regenerative Therapies Dresden, Technische Universitat Dresden","Website"
"Yoshihiro Kubo","Postdoc","1990-1992","Professor and 2nd Vice President, Division of Biophysics and Neurobiology, National Institute for Physiological Sciences, Japan","Website"
"Min Li","Postdoc","1990-1992","Founder and CEO, SciNeuro Pharmaceuticals, Rockville, Maryland"," "
"Ed Giniger","Postdoc","1988-1993","Sr. Investigator, NINDS, NIH","Website"
"Hannele Ruohola-Baker","Postdoc","1989-1993","Professor, University of Washington, Seattle","Website"
"Michelle Rhyu","Graduate Student","1989-1994","Partner, Cooley, LLP, Palo Alto, CA","Website"
"Tom Jongens","Postdoc","1989-1994","Associate Professor, University of Pennsylvania","Website"
"Vivian Siegel","Postdoc","1989-1994","Lecturer, MIT and Adjunct Research Professor, Vanderbilt University","Website"
"John Feder","Postdoc","1990-1994","Associate Director, Bristol-Myers Squibb"," "
"Andy Jarman","Postdoc","1990-1994","Professor, University of Edinburgh","Website"
"Morgan Sheng","Postdoc","1990-1994","Co-Director, Stanley Center for Psychiatric Research, MIT Broad Institute","Website"
"George Lopez","Graduate Student","1989-1995","Attending Physician, Swedish Neuroscience Institute, Seattle","Website"
"Dan Doherty","Graduate Student","1989-1995","Professor, U of Washington, Seattle Children's Hospital","Website"
"Georg Feger","Postdoc","1991-1995","Vice President, Head of Preclinical Research Biosimilars, Merck Group"," "
"Ira Clark","Graduate Student","1989-1996","Assistant Adjunct Professor, UCLA"," "
"Peter Kolodziej (deceased)","Postdoc","1983-1987","Assistant Professor, Vanderbilt University"," "
"Liqun Luo","Postdoc","1992-1996","Professor & HHMI investigator, Stanford University","Website"
"Cheng-Ting Chien","Postdoc","1993-1996","Distinguished Research Fellow, Academia Sinica and Professor, National Taiwan University","Website"
